contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
AMZN250725C00180000,6/16/2025 10:47 AM,180,36.00,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00185000,6/17/2025 3:35 PM,185,32.25,0.00,0.00,0.00,0.00%,16,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00190000,6/17/2025 1:31 PM,190,28.58,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00195000,6/17/2025 1:08 PM,195,23.47,0.00,0.00,0.00,0.00%,21,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00200000,6/17/2025 3:31 PM,200,18.75,0.00,0.00,0.00,0.00%,60,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00205000,6/17/2025 3:44 PM,205,15.02,0.00,0.00,0.00,0.00%,45,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00210000,6/17/2025 3:47 PM,210,11.56,0.00,0.00,0.00,0.00%,229,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725C00215000,6/17/2025 3:49 PM,215,8.55,0.00,0.00,0.00,0.00%,535,0,0.10%,"Jul 25, 2025",2025-07-25
AMZN250725C00220000,6/17/2025 3:46 PM,220,5.92,0.00,0.00,0.00,0.00%,580,0,1.56%,"Jul 25, 2025",2025-07-25
AMZN250725C00225000,6/17/2025 3:59 PM,225,3.85,0.00,0.00,0.00,0.00%,344,0,3.13%,"Jul 25, 2025",2025-07-25
AMZN250725C00230000,6/17/2025 3:59 PM,230,2.46,0.00,0.00,0.00,0.00%,620,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725C00235000,6/17/2025 3:51 PM,235,1.37,0.00,0.00,0.00,0.00%,165,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725C00240000,6/17/2025 3:32 PM,240,0.86,0.00,0.00,0.00,0.00%,63,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725C00245000,6/17/2025 3:27 PM,245,0.46,0.00,0.00,0.00,0.00%,39,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725C00250000,6/17/2025 3:37 PM,250,0.31,0.00,0.00,0.00,0.00%,6,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725C00255000,6/17/2025 10:56 AM,255,0.21,0.00,0.00,0.00,0.00%,3,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725C00260000,6/17/2025 9:57 AM,260,0.14,0.01,0.00,0.00,0.00%,10,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725C00265000,6/13/2025 10:49 AM,265,0.11,0.00,0.00,0.00,0.00%,2,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725C00270000,2025-10-06 15:49:00,270,0.13,-,0.00,0.00,0.00%,-,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725C00275000,2025-12-06 12:27:00,275,0.01,0.00,0.00,0.00,0.00%,-,0,12.50%,"Jul 25, 2025",2025-07-25
Puts,,,,,,,,,,,"Jul 25, 2025",2025-07-25
In The Money,,,,,,,,,,,"Jul 25, 2025",2025-07-25
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Jul 25, 2025",2025-07-25
AMZN250725P00105000,6/17/2025 3:54 PM,105,0.02,0.00,0.00,0.00,0.00%,-,0,50.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00120000,2025-11-06 13:01:00,120,0.05,-,0.00,0.00,0.00%,-,0,50.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00125000,2025-10-06 13:55:00,125,0.06,-,0.00,0.00,0.00%,-,0,25.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00140000,6/13/2025 2:32 PM,140,0.15,0.00,0.00,0.00,0.00%,8.362,0,25.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00150000,6/17/2025 10:33 AM,150,0.10,0.00,0.00,0.00,0.00%,11,0,25.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00155000,6/17/2025 10:19 AM,155,0.15,0.00,0.00,0.00,0.00%,10,0,25.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00160000,6/17/2025 10:19 AM,160,0.24,0.00,0.00,0.00,0.00%,22,0,25.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00165000,6/17/2025 10:14 AM,165,0.29,0.00,0.00,0.00,0.00%,10,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725P00170000,6/17/2025 12:07 PM,170,0.36,0.00,0.00,0.00,0.00%,11,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725P00175000,6/17/2025 3:48 PM,175,0.58,0.00,0.00,0.00,0.00%,27,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725P00180000,6/17/2025 3:25 PM,180,0.79,0.00,0.00,0.00,0.00%,38,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725P00185000,6/17/2025 3:57 PM,185,1.10,0.00,0.00,0.00,0.00%,98,0,12.50%,"Jul 25, 2025",2025-07-25
AMZN250725P00190000,6/17/2025 3:44 PM,190,1.51,0.00,0.00,0.00,0.00%,96,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725P00195000,6/17/2025 3:44 PM,195,2.06,0.00,0.00,0.00,0.00%,197,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725P00200000,6/17/2025 3:15 PM,200,2.82,0.00,0.00,0.00,0.00%,150,0,6.25%,"Jul 25, 2025",2025-07-25
AMZN250725P00205000,6/17/2025 2:52 PM,205,4.00,0.00,0.00,0.00,0.00%,61,0,3.13%,"Jul 25, 2025",2025-07-25
AMZN250725P00210000,6/17/2025 3:57 PM,210,5.40,0.00,0.00,0.00,0.00%,143,0,1.56%,"Jul 25, 2025",2025-07-25
AMZN250725P00215000,6/17/2025 3:51 PM,215,7.30,0.00,0.00,0.00,0.00%,50,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00220000,6/17/2025 3:30 PM,220,9.90,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00225000,6/17/2025 12:57 PM,225,12.42,0.00,0.00,0.00,0.00%,21,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00230000,6/16/2025 11:21 AM,230,15.70,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00235000,6/13/2025 1:01 PM,235,21.75,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00240000,6/16/2025 3:46 PM,240,23.15,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 25, 2025",2025-07-25
AMZN250725P00245000,2025-11-06 10:24:00,245,27.90,0.00,0.00,0.00,0.00%,-,-,0.00%,"Jul 25, 2025",2025-07-25
AMZN250801C00145000,6/13/2025 10:32 AM,145,66.20,0.00,0.00,0.00,0.00%,-,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00150000,6/13/2025 10:31 AM,150,61.40,0.00,0.00,0.00,0.00%,-,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00175000,6/13/2025 3:18 PM,175,40.00,0.00,0.00,0.00,0.00%,-,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00180000,6/17/2025 3:29 PM,180,37.95,0.00,0.00,0.00,0.00%,5,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00185000,6/13/2025 3:46 PM,185,30.22,0.00,0.00,0.00,0.00%,-,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00190000,6/17/2025 2:52 PM,190,28.25,0.00,0.00,0.00,0.00%,5,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00195000,6/13/2025 12:04 PM,195,22.77,0.00,0.00,0.00,0.00%,-,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00200000,6/17/2025 2:02 PM,200,20.46,0.00,0.00,0.00,0.00%,7,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00205000,6/17/2025 2:42 PM,205,17.00,0.00,0.00,0.00,0.00%,24,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00210000,6/17/2025 3:16 PM,210,13.79,0.00,0.00,0.00,0.00%,8,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801C00215000,6/17/2025 3:47 PM,215,10.92,0.00,0.00,0.00,0.00%,98,0,0.10%,"Aug 1, 2025",2025-08-01
AMZN250801C00220000,6/17/2025 3:59 PM,220,8.25,0.00,0.00,0.00,0.00%,49,0,1.56%,"Aug 1, 2025",2025-08-01
AMZN250801C00225000,6/17/2025 3:32 PM,225,6.25,0.00,0.00,0.00,0.00%,54,0,3.13%,"Aug 1, 2025",2025-08-01
AMZN250801C00230000,6/17/2025 3:13 PM,230,4.55,0.00,0.00,0.00,0.00%,85,0,3.13%,"Aug 1, 2025",2025-08-01
AMZN250801C00235000,6/17/2025 3:45 PM,235,3.11,0.00,0.00,0.00,0.00%,54,0,6.25%,"Aug 1, 2025",2025-08-01
AMZN250801C00240000,6/17/2025 3:06 PM,240,2.19,0.00,0.00,0.00,0.00%,300,0,6.25%,"Aug 1, 2025",2025-08-01
AMZN250801C00245000,6/17/2025 1:48 PM,245,1.46,0.00,0.00,0.00,0.00%,16,0,6.25%,"Aug 1, 2025",2025-08-01
AMZN250801C00250000,6/17/2025 3:40 PM,250,0.99,0.00,0.00,0.00,0.00%,64,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801C00255000,6/17/2025 2:56 PM,255,0.64,0.00,0.00,0.00,0.00%,-,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801C00260000,6/17/2025 2:38 PM,260,0.40,0.00,0.00,0.00,0.00%,-,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801C00265000,6/17/2025 12:09 PM,265,0.35,0.00,0.00,0.00,0.00%,-,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801C00270000,6/17/2025 10:58 AM,270,0.24,-,0.00,0.00,0.00%,2,0,12.50%,"Aug 1, 2025",2025-08-01
Puts,,,,,,,,,,,"Aug 1, 2025",2025-08-01
In The Money,,,,,,,,,,,"Aug 1, 2025",2025-08-01
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Aug 1, 2025",2025-08-01
AMZN250801P00140000,6/17/2025 10:33 AM,140,0.26,0.00,0.00,0.00,0.00%,-,-,25.00%,"Aug 1, 2025",2025-08-01
AMZN250801P00150000,6/16/2025 9:30 AM,150,0.48,0.00,0.00,0.00,0.00%,1,0,25.00%,"Aug 1, 2025",2025-08-01
AMZN250801P00155000,6/17/2025 3:38 PM,155,0.44,0.00,0.00,0.00,0.00%,24,0,25.00%,"Aug 1, 2025",2025-08-01
AMZN250801P00160000,6/17/2025 3:38 PM,160,0.54,0.00,0.00,0.00,0.00%,26,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801P00165000,6/16/2025 9:58 AM,165,0.60,0.00,0.00,0.00,0.00%,1,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801P00170000,6/17/2025 2:26 PM,170,0.92,0.00,0.00,0.00,0.00%,26,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801P00175000,6/17/2025 3:48 PM,175,1.11,0.00,0.00,0.00,0.00%,46,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801P00180000,6/17/2025 3:53 PM,180,1.49,0.00,0.00,0.00,0.00%,15,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801P00185000,6/17/2025 3:44 PM,185,1.96,0.00,0.00,0.00,0.00%,9,0,12.50%,"Aug 1, 2025",2025-08-01
AMZN250801P00190000,6/17/2025 3:44 PM,190,2.58,0.00,0.00,0.00,0.00%,23,0,6.25%,"Aug 1, 2025",2025-08-01
AMZN250801P00195000,6/17/2025 3:59 PM,195,3.40,0.00,0.00,0.00,0.00%,95,0,6.25%,"Aug 1, 2025",2025-08-01
AMZN250801P00200000,6/17/2025 3:59 PM,200,4.50,0.00,0.00,0.00,0.00%,107,0,6.25%,"Aug 1, 2025",2025-08-01
AMZN250801P00205000,6/17/2025 3:49 PM,205,5.91,0.00,0.00,0.00,0.00%,76,0,3.13%,"Aug 1, 2025",2025-08-01
AMZN250801P00210000,6/17/2025 3:43 PM,210,7.60,0.00,0.00,0.00,0.00%,49,0,1.56%,"Aug 1, 2025",2025-08-01
AMZN250801P00215000,6/17/2025 3:43 PM,215,9.60,0.00,0.00,0.00,0.00%,326,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801P00220000,6/16/2025 10:43 AM,220,12.16,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250801P00225000,6/17/2025 10:15 AM,225,14.00,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 1, 2025",2025-08-01
AMZN250815C00085000,6/16/2025 2:24 PM,85,131.42,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00090000,5/28/2025 9:57 AM,90,116.89,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00095000,6/16/2025 3:19 PM,95,122.30,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00100000,6/17/2025 3:30 PM,100,116.07,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00105000,2025-06-06 15:50:00,105,109.65,0.00,0.00,0.00,0.00%,4,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00110000,6/13/2025 2:15 PM,110,103.90,0.00,0.00,0.00,0.00%,20,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00115000,5/30/2025 12:28 PM,115,89.45,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00120000,6/16/2025 3:44 PM,120,97.63,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00125000,6/13/2025 2:48 PM,125,88.19,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00130000,6/17/2025 10:16 AM,130,87.62,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00135000,2025-09-06 13:50:00,135,83.80,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00140000,2025-12-06 12:18:00,140,74.37,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00145000,6/17/2025 11:09 AM,145,72.95,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00150000,6/17/2025 9:41 AM,150,68.05,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00155000,6/16/2025 11:44 AM,155,62.49,0.00,0.00,0.00,0.00%,271,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00160000,6/17/2025 3:55 PM,160,57.10,0.00,0.00,0.00,0.00%,655,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00165000,6/17/2025 12:44 PM,165,53.55,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00170000,6/17/2025 2:15 PM,170,47.70,0.00,0.00,0.00,0.00%,5,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00175000,6/17/2025 2:29 PM,175,42.84,0.00,0.00,0.00,0.00%,17,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00180000,6/17/2025 2:02 PM,180,38.50,0.00,0.00,0.00,0.00%,19,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00185000,6/17/2025 3:51 PM,185,34.18,0.00,0.00,0.00,0.00%,64,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00190000,6/17/2025 2:18 PM,190,29.98,0.00,0.00,0.00,0.00%,28,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00195000,6/17/2025 3:58 PM,195,25.82,0.00,0.00,0.00,0.00%,51,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00200000,6/17/2025 3:57 PM,200,22.05,0.00,0.00,0.00,0.00%,11.186,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00205000,6/17/2025 3:55 PM,205,18.45,0.00,0.00,0.00,0.00%,248,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00210000,6/17/2025 3:58 PM,210,15.35,0.00,0.00,0.00,0.00%,359,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00215000,6/17/2025 3:59 PM,215,12.30,0.00,0.00,0.00,0.00%,535,0,0.10%,"Aug 15, 2025",2025-08-15
AMZN250815C00220000,6/17/2025 3:59 PM,220,9.80,0.00,0.00,0.00,0.00%,1.395,0,1.56%,"Aug 15, 2025",2025-08-15
AMZN250815C00225000,6/17/2025 3:59 PM,225,7.60,0.00,0.00,0.00,0.00%,435,0,3.13%,"Aug 15, 2025",2025-08-15
AMZN250815C00230000,6/17/2025 3:59 PM,230,5.80,0.00,0.00,0.00,0.00%,976,0,3.13%,"Aug 15, 2025",2025-08-15
AMZN250815C00235000,6/17/2025 3:57 PM,235,4.39,0.00,0.00,0.00,0.00%,295,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815C00240000,6/17/2025 3:52 PM,240,3.19,0.00,0.00,0.00,0.00%,501,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815C00245000,6/17/2025 3:59 PM,245,2.24,0.00,0.00,0.00,0.00%,134,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815C00250000,6/17/2025 3:56 PM,250,1.62,0.00,0.00,0.00,0.00%,730,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815C00255000,6/17/2025 3:48 PM,255,1.16,0.00,0.00,0.00,0.00%,183,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00260000,6/17/2025 3:29 PM,260,0.83,0.00,0.00,0.00,0.00%,384,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00265000,6/17/2025 3:25 PM,265,0.59,0.00,0.00,0.00,0.00%,7,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00270000,6/17/2025 1:45 PM,270,0.46,0.00,0.00,0.00,0.00%,3,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00275000,6/17/2025 3:24 PM,275,0.31,0.00,0.00,0.00,0.00%,66,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00280000,6/17/2025 12:20 PM,280,0.24,0.00,0.00,0.00,0.00%,9,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00285000,6/17/2025 12:33 PM,285,0.18,0.00,0.00,0.00,0.00%,24,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00290000,6/17/2025 9:37 AM,290,0.15,0.00,0.00,0.00,0.00%,11,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00295000,6/16/2025 2:03 PM,295,0.12,0.00,0.00,0.00,0.00%,2,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00300000,6/17/2025 3:19 PM,300,0.09,0.00,0.00,0.00,0.00%,12,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00305000,2025-10-06 11:13:00,305,0.11,0.00,0.00,0.00,0.00%,2,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815C00310000,2025-10-06 15:58:00,310,0.10,0.00,0.00,0.00,0.00%,5,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00315000,6/17/2025 12:20 PM,315,0.04,0.00,0.00,0.00,0.00%,1,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00320000,6/17/2025 1:00 PM,320,0.04,0.00,0.00,0.00,0.00%,201,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00325000,2025-06-06 11:07:00,325,0.04,0.00,0.00,0.00,0.00%,1,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00330000,6/16/2025 9:30 AM,330,0.03,0.00,0.00,0.00,0.00%,1,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00335000,2025-12-06 13:43:00,335,0.02,0.00,0.00,0.00,0.00%,2,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00340000,2025-02-06 09:30:00,340,0.05,0.00,0.00,0.00,0.00%,1,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00345000,6/16/2025 11:26 AM,345,0.02,0.00,0.00,0.00,0.00%,1.072,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815C00350000,6/16/2025 11:04 AM,350,0.02,0.00,0.00,0.00,0.00%,200,0,25.00%,"Aug 15, 2025",2025-08-15
Puts,,,,,,,,,,,"Aug 15, 2025",2025-08-15
In The Money,,,,,,,,,,,"Aug 15, 2025",2025-08-15
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Aug 15, 2025",2025-08-15
AMZN250815P00085000,2025-12-06 13:38:00,85,0.03,0.00,0.00,0.00,0.00%,3,0,50.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00090000,6/16/2025 2:38 PM,90,0.04,0.00,0.00,0.00,0.00%,1,0,50.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00095000,2025-12-06 13:38:00,95,0.05,0.00,0.00,0.00,0.00%,1,0,50.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00100000,6/16/2025 12:20 PM,100,0.06,0.00,0.00,0.00,0.00%,10,0,50.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00105000,2025-11-06 11:47:00,105,0.09,0.00,0.00,0.00,0.00%,8,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00110000,2025-11-06 14:07:00,110,0.10,0.00,0.00,0.00,0.00%,16,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00115000,6/16/2025 1:43 PM,115,0.12,0.00,0.00,0.00,0.00%,64,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00120000,6/17/2025 3:06 PM,120,0.16,0.00,0.00,0.00,0.00%,2,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00125000,6/17/2025 2:44 PM,125,0.19,0.00,0.00,0.00,0.00%,22,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00130000,6/17/2025 12:52 PM,130,0.21,0.00,0.00,0.00,0.00%,14,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00135000,6/17/2025 3:53 PM,135,0.28,0.00,0.00,0.00,0.00%,14,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00140000,6/17/2025 2:28 PM,140,0.35,0.00,0.00,0.00,0.00%,2,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00145000,6/17/2025 10:49 AM,145,0.37,0.00,0.00,0.00,0.00%,15,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00150000,6/17/2025 2:27 PM,150,0.52,0.00,0.00,0.00,0.00%,28,0,25.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00155000,6/17/2025 3:53 PM,155,0.65,0.00,0.00,0.00,0.00%,50,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815P00160000,6/17/2025 3:17 PM,160,0.80,0.00,0.00,0.00,0.00%,44,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815P00165000,6/17/2025 3:46 PM,165,0.98,0.00,0.00,0.00,0.00%,187,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815P00170000,6/17/2025 3:13 PM,170,1.25,0.00,0.00,0.00,0.00%,66,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815P00175000,6/17/2025 3:38 PM,175,1.58,0.00,0.00,0.00,0.00%,130,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815P00180000,6/17/2025 3:38 PM,180,2.03,0.00,0.00,0.00,0.00%,1.603,0,12.50%,"Aug 15, 2025",2025-08-15
AMZN250815P00185000,6/17/2025 3:43 PM,185,2.61,0.00,0.00,0.00,0.00%,2.015,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815P00190000,6/17/2025 3:46 PM,190,3.37,0.00,0.00,0.00,0.00%,147,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815P00195000,6/17/2025 3:41 PM,195,4.35,0.00,0.00,0.00,0.00%,240,0,6.25%,"Aug 15, 2025",2025-08-15
AMZN250815P00200000,6/17/2025 3:51 PM,200,5.45,0.00,0.00,0.00,0.00%,546,0,3.13%,"Aug 15, 2025",2025-08-15
AMZN250815P00205000,6/17/2025 3:57 PM,205,6.95,0.00,0.00,0.00,0.00%,297,0,3.13%,"Aug 15, 2025",2025-08-15
AMZN250815P00210000,6/17/2025 3:52 PM,210,8.70,0.00,0.00,0.00,0.00%,1.445,0,1.56%,"Aug 15, 2025",2025-08-15
AMZN250815P00215000,6/17/2025 3:47 PM,215,10.79,0.00,0.00,0.00,0.00%,342,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00220000,6/17/2025 3:45 PM,220,13.25,0.00,0.00,0.00,0.00%,185,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00225000,6/17/2025 3:50 PM,225,15.85,0.00,0.00,0.00,0.00%,21,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00230000,6/17/2025 2:05 PM,230,19.10,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00235000,6/17/2025 2:40 PM,235,22.85,0.00,0.00,0.00,0.00%,26,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00240000,6/17/2025 10:14 AM,240,25.65,0.00,0.00,0.00,0.00%,9,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00245000,6/16/2025 3:28 PM,245,29.65,0.00,0.00,0.00,0.00%,5,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00250000,6/17/2025 9:46 AM,250,33.86,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00255000,2025-09-06 11:03:00,255,40.52,0.00,0.00,0.00,0.00%,5,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00260000,5/15/2025 9:33 AM,260,54.50,47.30,48.75,0.00,0.00%,1,0,46.71%,"Aug 15, 2025",2025-08-15
AMZN250815P00265000,3/19/2025 3:49 PM,265,69.64,91.55,93.35,0.00,0.00%,2,0,170.94%,"Aug 15, 2025",2025-08-15
AMZN250815P00270000,2025-02-06 10:55:00,270,65.50,0.00,0.00,0.00,0.00%,2,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00275000,2025-03-03 15:54:00,275,71.60,0.00,0.00,0.00,0.00%,5,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00280000,2025-03-03 09:48:00,280,68.39,0.00,0.00,0.00,0.00%,1,0,0.00%,"Aug 15, 2025",2025-08-15
AMZN250815P00285000,2025-11-02 09:43:00,285,53.15,87.20,88.20,0.00,0.00%,15,0,111.41%,"Aug 15, 2025",2025-08-15
AMZN250815P00290000,2025-11-02 09:43:00,290,57.65,92.25,93.00,0.00,0.00%,1,0,114.22%,"Aug 15, 2025",2025-08-15
AMZN250815P00295000,2025-11-02 09:43:00,295,62.35,97.30,98.30,0.00,0.00%,30,0,117.72%,"Aug 15, 2025",2025-08-15
