contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
META250703C00820000,6/17/2025 11:32 AM,820,0.28,0.00,0.00,0.00,0.00%,35,0,12.50%,"Jul 3, 2025",2025-07-03
META250703C00830000,6/17/2025 3:52 PM,830,0.15,0.00,0.00,0.00,0.00%,2,0,12.50%,"Jul 3, 2025",2025-07-03
META250703C00840000,6/16/2025 1:30 PM,840,0.18,0.00,0.00,0.00,0.00%,51,0,12.50%,"Jul 3, 2025",2025-07-03
META250703C00850000,6/17/2025 12:12 PM,850,0.11,0.00,0.00,0.00,0.00%,35,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00860000,6/16/2025 10:12 AM,860,0.11,0.00,0.00,0.00,0.00%,10,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00870000,2025-09-06 10:22:00,870,0.24,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00880000,6/17/2025 3:58 PM,880,0.07,0.00,0.00,0.00,0.00%,15,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00890000,6/17/2025 11:17 AM,890,0.06,0.00,0.00,0.00,0.00%,6,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00900000,6/17/2025 12:23 PM,900,0.03,0.00,0.00,0.00,0.00%,60,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00910000,6/16/2025 11:27 AM,910,0.02,0.00,0.00,0.00,0.00%,5,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00920000,6/16/2025 2:03 PM,920,0.02,-,0.00,0.00,0.00%,-,0,25.00%,"Jul 3, 2025",2025-07-03
META250703C00930000,2025-12-06 10:23:00,930,0.03,0.00,0.00,0.00,0.00%,10,0,25.00%,"Jul 3, 2025",2025-07-03
Puts,,,,,,,,,,,"Jul 3, 2025",2025-07-03
In The Money,,,,,,,,,,,"Jul 3, 2025",2025-07-03
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Jul 3, 2025",2025-07-03
META250703P00300000,2025-10-06 11:13:00,300,0.04,-,0.00,0.00,0.00%,-,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00340000,2025-04-06 13:46:00,340,0.04,0.00,0.00,0.00,0.00%,-,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00350000,6/16/2025 11:01 AM,350,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00370000,2025-05-06 12:35:00,370,0.03,0.00,0.00,0.00,0.00%,-,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00390000,6/17/2025 10:15 AM,390,0.02,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00400000,2025-11-06 11:17:00,400,0.03,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00425000,6/17/2025 1:30 PM,425,0.02,-,0.00,0.00,0.00%,-,-,50.00%,"Jul 3, 2025",2025-07-03
META250703P00430000,2025-09-06 15:34:00,430,0.05,0.00,0.00,0.00,0.00%,9,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00450000,6/17/2025 10:07 AM,450,0.05,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jul 3, 2025",2025-07-03
META250703P00460000,6/17/2025 3:54 PM,460,0.03,-,0.00,0.00,0.00%,-,-,50.00%,"Jul 3, 2025",2025-07-03
META250703P00480000,6/13/2025 12:28 PM,480,0.09,0.00,0.00,0.00,0.00%,36,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00485000,6/13/2025 12:29 PM,485,0.10,0.00,0.00,0.00,0.00%,-,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00495000,5/23/2025 11:24 AM,495,1.65,0.00,0.00,0.00,0.00%,2,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00500000,6/17/2025 3:31 PM,500,0.08,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00505000,6/13/2025 9:30 AM,505,0.20,0.00,0.00,0.00,0.00%,3,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00510000,6/17/2025 1:32 PM,510,0.09,0.00,0.00,0.00,0.00%,9,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00520000,6/16/2025 1:17 PM,520,0.11,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00525000,6/13/2025 2:55 PM,525,0.38,0.00,0.00,0.00,0.00%,6,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00530000,6/17/2025 1:32 PM,530,0.16,0.00,0.00,0.00,0.00%,9,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00535000,6/16/2025 2:23 PM,535,0.13,0.00,0.00,0.00,0.00%,84,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00540000,6/17/2025 1:36 PM,540,0.17,0.00,0.00,0.00,0.00%,5,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00545000,6/17/2025 3:53 PM,545,0.22,0.00,0.00,0.00,0.00%,6,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00550000,6/17/2025 11:46 AM,550,0.18,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00555000,6/17/2025 11:59 AM,555,0.23,0.00,0.00,0.00,0.00%,2,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00560000,6/17/2025 1:36 PM,560,0.29,0.00,0.00,0.00,0.00%,66,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00565000,6/16/2025 3:57 PM,565,0.28,0.00,0.00,0.00,0.00%,24,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00570000,6/17/2025 2:10 PM,570,0.42,0.00,0.00,0.00,0.00%,53,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00575000,6/16/2025 12:47 PM,575,0.44,0.00,0.00,0.00,0.00%,24,0,25.00%,"Jul 3, 2025",2025-07-03
META250703P00580000,6/17/2025 3:53 PM,580,0.51,0.00,0.00,0.00,0.00%,61,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00585000,6/17/2025 2:57 PM,585,0.54,0.00,0.00,0.00,0.00%,7,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00590000,6/17/2025 3:46 PM,590,0.63,0.00,0.00,0.00,0.00%,5,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00595000,6/17/2025 11:00 AM,595,0.61,0.00,0.00,0.00,0.00%,22,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00600000,6/17/2025 3:46 PM,600,0.80,0.00,0.00,0.00,0.00%,34,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00605000,6/17/2025 3:54 PM,605,0.94,0.00,0.00,0.00,0.00%,27,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00610000,6/17/2025 2:15 PM,610,1.11,0.00,0.00,0.00,0.00%,24,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00615000,6/17/2025 12:47 PM,615,0.92,0.00,0.00,0.00,0.00%,5,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00620000,6/17/2025 2:44 PM,620,1.50,0.00,0.00,0.00,0.00%,44,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00625000,6/17/2025 3:57 PM,625,1.61,0.00,0.00,0.00,0.00%,16,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00630000,6/17/2025 3:22 PM,630,1.77,0.00,0.00,0.00,0.00%,24,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00635000,6/17/2025 3:55 PM,635,2.15,0.00,0.00,0.00,0.00%,16,0,12.50%,"Jul 3, 2025",2025-07-03
META250703P00640000,6/17/2025 3:53 PM,640,2.52,0.00,0.00,0.00,0.00%,136,0,6.25%,"Jul 3, 2025",2025-07-03
META250703P00645000,6/17/2025 3:38 PM,645,2.90,0.00,0.00,0.00,0.00%,15,0,6.25%,"Jul 3, 2025",2025-07-03
META250703P00650000,6/17/2025 3:58 PM,650,3.50,0.00,0.00,0.00,0.00%,89,0,6.25%,"Jul 3, 2025",2025-07-03
META250703P00655000,6/17/2025 3:53 PM,655,4.10,0.00,0.00,0.00,0.00%,41,0,6.25%,"Jul 3, 2025",2025-07-03
META250703P00660000,6/17/2025 3:53 PM,660,4.85,0.00,0.00,0.00,0.00%,45,0,6.25%,"Jul 3, 2025",2025-07-03
META250703P00665000,6/17/2025 3:56 PM,665,5.72,0.00,0.00,0.00,0.00%,177,0,6.25%,"Jul 3, 2025",2025-07-03
META250703P00670000,6/17/2025 3:53 PM,670,6.73,0.00,0.00,0.00,0.00%,52,0,3.13%,"Jul 3, 2025",2025-07-03
META250703P00675000,6/17/2025 3:56 PM,675,7.92,0.00,0.00,0.00,0.00%,140,0,3.13%,"Jul 3, 2025",2025-07-03
META250703P00677500,6/17/2025 3:38 PM,677.5,8.50,0.00,0.00,0.00,0.00%,-,0,3.13%,"Jul 3, 2025",2025-07-03
META250703P00680000,6/17/2025 3:54 PM,680,9.50,0.00,0.00,0.00,0.00%,127,0,3.13%,"Jul 3, 2025",2025-07-03
META250703P00682500,6/17/2025 2:19 PM,682.5,10.07,0.00,0.00,0.00,0.00%,-,0,3.13%,"Jul 3, 2025",2025-07-03
META250703P00685000,6/17/2025 3:55 PM,685,11.38,0.00,0.00,0.00,0.00%,31,0,1.56%,"Jul 3, 2025",2025-07-03
META250703P00687500,6/17/2025 3:55 PM,687.5,12.28,0.00,0.00,0.00,0.00%,-,0,1.56%,"Jul 3, 2025",2025-07-03
META250703P00690000,6/17/2025 3:41 PM,690,12.60,0.00,0.00,0.00,0.00%,95,0,1.56%,"Jul 3, 2025",2025-07-03
META250703P00692500,6/17/2025 3:58 PM,692.5,13.90,0.00,0.00,0.00,0.00%,-,0,0.78%,"Jul 3, 2025",2025-07-03
META250703P00695000,6/17/2025 3:59 PM,695,15.00,0.00,0.00,0.00,0.00%,35,0,0.39%,"Jul 3, 2025",2025-07-03
META250703P00697500,6/17/2025 3:18 PM,697.5,15.30,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00700000,6/17/2025 3:57 PM,700,17.40,0.00,0.00,0.00,0.00%,341,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00702500,6/17/2025 3:51 PM,702.5,17.90,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00705000,6/17/2025 2:44 PM,705,20.00,0.00,0.00,0.00,0.00%,94,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00707500,6/17/2025 12:59 PM,707.5,19.00,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00710000,6/17/2025 2:51 PM,710,21.70,0.00,0.00,0.00,0.00%,45,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00712500,6/16/2025 3:43 PM,712.5,22.00,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00715000,6/17/2025 2:05 PM,715,25.35,0.00,0.00,0.00,0.00%,11,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00720000,6/17/2025 2:35 PM,720,28.15,0.00,0.00,0.00,0.00%,9,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00725000,6/17/2025 11:21 AM,725,28.60,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00730000,6/17/2025 3:59 PM,730,36.40,0.00,0.00,0.00,0.00%,14,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00735000,6/16/2025 10:44 AM,735,35.00,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00740000,6/17/2025 10:15 AM,740,42.39,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00745000,2025-06-06 10:34:00,745,51.89,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00750000,6/17/2025 1:03 PM,750,49.75,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00770000,2025-10-06 12:29:00,770,72.50,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00790000,2025-10-06 15:59:00,790,88.30,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 3, 2025",2025-07-03
META250703P00795000,2025-09-06 15:58:00,795,98.20,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jul 3, 2025",2025-07-03
META250711C00300000,2025-04-06 09:35:00,300,376.43,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00330000,5/30/2025 10:36 AM,330,317.75,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00360000,6/13/2025 10:17 AM,360,328.35,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00475000,6/13/2025 3:33 PM,475,209.00,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00500000,6/13/2025 12:13 PM,500,195.42,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00505000,6/13/2025 2:57 PM,505,180.93,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00510000,6/13/2025 3:11 PM,510,174.95,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00520000,6/13/2025 11:30 AM,520,174.95,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00530000,6/16/2025 12:53 PM,530,170.66,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00550000,5/30/2025 12:22 PM,550,98.55,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00555000,6/13/2025 9:35 AM,555,137.92,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00560000,6/13/2025 10:53 AM,560,132.32,0.00,0.00,0.00,0.00%,29,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00565000,2025-04-06 10:22:00,565,123.09,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00575000,6/13/2025 3:57 PM,575,109.80,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00580000,6/16/2025 10:33 AM,580,128.15,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00585000,6/13/2025 2:28 PM,585,105.67,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00590000,2025-11-06 15:12:00,590,109.06,0.00,0.00,0.00,0.00%,9,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00595000,2025-11-06 11:02:00,595,111.17,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00600000,6/16/2025 1:03 PM,600,103.09,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00605000,2025-02-06 15:54:00,605,74.03,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00610000,6/13/2025 1:51 PM,610,85.69,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00615000,6/17/2025 11:32 AM,615,92.11,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00620000,2025-12-06 09:58:00,620,73.60,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00625000,6/13/2025 3:27 PM,625,64.40,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00630000,6/13/2025 3:49 PM,630,59.70,0.00,0.00,0.00,0.00%,15,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00635000,6/16/2025 10:52 AM,635,73.80,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00640000,6/16/2025 11:24 AM,640,69.62,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00645000,6/16/2025 11:47 AM,645,64.06,0.00,0.00,0.00,0.00%,7,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00650000,6/16/2025 3:39 PM,650,57.42,0.00,0.00,0.00,0.00%,14,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00655000,6/16/2025 10:02 AM,655,51.75,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00660000,6/17/2025 1:14 PM,660,49.85,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00665000,6/16/2025 3:51 PM,665,45.10,0.00,0.00,0.00,0.00%,21,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00670000,6/17/2025 11:34 AM,670,43.65,0.00,0.00,0.00,0.00%,6,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00675000,6/17/2025 2:18 PM,675,36.10,0.00,0.00,0.00,0.00%,190,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00680000,6/17/2025 2:43 PM,680,32.60,0.00,0.00,0.00,0.00%,203,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00685000,6/17/2025 1:54 PM,685,29.70,0.00,0.00,0.00,0.00%,22,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00690000,6/17/2025 3:52 PM,690,25.95,0.00,0.00,0.00,0.00%,53,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00695000,6/17/2025 3:47 PM,695,23.25,0.00,0.00,0.00,0.00%,96,0,0.00%,"Jul 11, 2025",2025-07-11
META250711C00700000,6/17/2025 3:56 PM,700,20.15,0.00,0.00,0.00,0.00%,234,0,0.39%,"Jul 11, 2025",2025-07-11
META250711C00705000,6/17/2025 3:57 PM,705,17.58,0.00,0.00,0.00,0.00%,158,0,0.78%,"Jul 11, 2025",2025-07-11
META250711C00710000,6/17/2025 3:57 PM,710,15.20,0.00,0.00,0.00,0.00%,139,0,1.56%,"Jul 11, 2025",2025-07-11
META250711C00715000,6/17/2025 3:58 PM,715,13.25,0.00,0.00,0.00,0.00%,87,0,1.56%,"Jul 11, 2025",2025-07-11
META250711C00720000,6/17/2025 3:59 PM,720,11.30,0.00,0.00,0.00,0.00%,96,0,3.13%,"Jul 11, 2025",2025-07-11
META250711C00725000,6/17/2025 3:54 PM,725,9.54,0.00,0.00,0.00,0.00%,63,0,3.13%,"Jul 11, 2025",2025-07-11
META250711C00730000,6/17/2025 3:55 PM,730,8.00,0.00,0.00,0.00,0.00%,205,0,3.13%,"Jul 11, 2025",2025-07-11
META250711C00735000,6/17/2025 3:51 PM,735,6.99,0.00,0.00,0.00,0.00%,28,0,3.13%,"Jul 11, 2025",2025-07-11
META250711C00740000,6/17/2025 3:52 PM,740,5.80,0.00,0.00,0.00,0.00%,13,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00745000,6/17/2025 12:30 PM,745,6.00,0.00,0.00,0.00,0.00%,43,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00750000,6/17/2025 3:58 PM,750,4.15,0.00,0.00,0.00,0.00%,134,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00755000,6/17/2025 3:56 PM,755,3.40,0.00,0.00,0.00,0.00%,37,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00760000,6/17/2025 2:08 PM,760,3.05,0.00,0.00,0.00,0.00%,15,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00765000,6/17/2025 12:22 PM,765,3.18,0.00,0.00,0.00,0.00%,1,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00770000,6/17/2025 12:36 PM,770,2.76,0.00,0.00,0.00,0.00%,6,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00775000,6/17/2025 12:50 PM,775,2.15,0.00,0.00,0.00,0.00%,11,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00780000,6/17/2025 3:52 PM,780,1.40,0.00,0.00,0.00,0.00%,4,0,6.25%,"Jul 11, 2025",2025-07-11
META250711C00785000,6/17/2025 2:42 PM,785,1.27,0.00,0.00,0.00,0.00%,4,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00790000,6/17/2025 2:45 PM,790,1.10,0.00,0.00,0.00,0.00%,1,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00795000,6/17/2025 3:51 PM,795,0.89,0.00,0.00,0.00,0.00%,4,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00800000,6/17/2025 3:57 PM,800,0.76,0.00,0.00,0.00,0.00%,13,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00810000,6/17/2025 11:27 AM,810,0.80,0.00,0.00,0.00,0.00%,1,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00820000,6/17/2025 3:55 PM,820,0.45,0.00,0.00,0.00,0.00%,4,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00830000,6/16/2025 12:24 PM,830,0.39,0.00,0.00,0.00,0.00%,1,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00840000,6/17/2025 3:30 PM,840,0.29,0.00,0.00,0.00,0.00%,3,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00850000,6/16/2025 1:01 PM,850,0.28,0.00,0.00,0.00,0.00%,3,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00860000,6/16/2025 10:26 AM,860,0.27,0.00,0.00,0.00,0.00%,-,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00870000,6/13/2025 1:19 PM,870,0.16,0.00,0.00,0.00,0.00%,1,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00880000,2025-12-06 15:33:00,880,0.12,0.00,0.00,0.00,0.00%,-,0,12.50%,"Jul 11, 2025",2025-07-11
META250711C00890000,6/16/2025 9:32 AM,890,0.15,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 11, 2025",2025-07-11
META250711C00900000,6/16/2025 1:52 PM,900,0.09,0.00,0.00,0.00,0.00%,5,0,25.00%,"Jul 11, 2025",2025-07-11
META250711C00930000,2025-12-06 14:32:00,930,0.06,0.00,0.00,0.00,0.00%,2,0,25.00%,"Jul 11, 2025",2025-07-11
Puts,,,,,,,,,,,"Jul 11, 2025",2025-07-11
In The Money,,,,,,,,,,,"Jul 11, 2025",2025-07-11
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Jul 11, 2025",2025-07-11
META250711P00300000,6/17/2025 10:16 AM,300,0.01,-,0.00,0.00,0.00%,-,-,50.00%,"Jul 11, 2025",2025-07-11
META250711P00330000,2025-06-06 10:06:00,330,0.04,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jul 11, 2025",2025-07-11
META250711P00370000,6/13/2025 3:41 PM,370,0.04,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jul 11, 2025",2025-07-11
META250711P00380000,6/13/2025 3:43 PM,380,0.05,-,0.00,0.00,0.00%,-,0,50.00%,"Jul 11, 2025",2025-07-11
META250711P00400000,2025-05-06 10:19:00,400,0.11,0.00,0.00,0.00,0.00%,-,0,50.00%,"Jul 11, 2025",2025-07-11
META250711P00455000,2025-11-06 10:17:00,455,0.12,0.00,0.00,0.00,0.00%,100,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00465000,6/13/2025 2:28 PM,465,0.16,0.00,0.00,0.00,0.00%,-,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00470000,2025-12-06 09:44:00,470,0.16,0.00,0.00,0.00,0.00%,70,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00480000,2025-04-06 13:47:00,480,0.34,0.00,0.00,0.00,0.00%,-,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00490000,2025-04-06 13:55:00,490,0.39,0.00,0.00,0.00,0.00%,-,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00495000,6/13/2025 2:28 PM,495,0.35,0.00,0.00,0.00,0.00%,4,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00500000,6/17/2025 3:31 PM,500,0.16,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00510000,6/17/2025 12:27 PM,510,0.16,0.00,0.00,0.00,0.00%,2,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00515000,2025-10-06 10:18:00,515,0.34,0.00,0.00,0.00,0.00%,10,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00520000,6/13/2025 10:53 AM,520,0.47,0.00,0.00,0.00,0.00%,2,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00525000,6/13/2025 10:59 AM,525,0.48,0.00,0.00,0.00,0.00%,1,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00530000,6/17/2025 12:04 PM,530,0.25,0.00,0.00,0.00,0.00%,-,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00535000,6/16/2025 3:51 PM,535,0.29,0.00,0.00,0.00,0.00%,4,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00540000,6/16/2025 3:45 PM,540,0.32,0.00,0.00,0.00,0.00%,18,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00545000,6/16/2025 10:58 AM,545,0.37,0.00,0.00,0.00,0.00%,7,0,25.00%,"Jul 11, 2025",2025-07-11
META250711P00550000,6/16/2025 3:45 PM,550,0.39,0.00,0.00,0.00,0.00%,10,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00555000,6/17/2025 1:40 PM,555,0.50,0.00,0.00,0.00,0.00%,7,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00560000,6/16/2025 11:55 AM,560,0.53,0.00,0.00,0.00,0.00%,15,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00565000,6/17/2025 3:19 PM,565,0.71,0.00,0.00,0.00,0.00%,2,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00570000,6/17/2025 2:05 PM,570,0.83,0.00,0.00,0.00,0.00%,16,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00575000,6/17/2025 2:55 PM,575,0.87,0.00,0.00,0.00,0.00%,8,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00580000,6/17/2025 3:38 PM,580,0.95,0.00,0.00,0.00,0.00%,11,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00585000,6/17/2025 2:44 PM,585,1.15,0.00,0.00,0.00,0.00%,15,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00590000,6/17/2025 10:16 AM,590,1.06,0.00,0.00,0.00,0.00%,3,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00595000,6/17/2025 11:32 AM,595,1.13,0.00,0.00,0.00,0.00%,2,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00600000,6/17/2025 3:38 PM,600,1.54,0.00,0.00,0.00,0.00%,97,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00605000,6/16/2025 2:06 PM,605,1.45,0.00,0.00,0.00,0.00%,8,0,12.50%,"Jul 11, 2025",2025-07-11
META250711P00610000,6/17/2025 3:32 PM,610,1.95,0.00,0.00,0.00,0.00%,3,0,12.50%,"Jul 11, 2025",2025-07-11
